audio_path,labels,prediction,probabilities
serviceable/2023-02-07T150448-5.wav,0,0,[0.5276738  0.48030525]
malfunction/2023-02-15T164316-3.wav,1,1,[0.0048963 0.9942374]
malfunction/2023-02-12T214802-1.wav,1,1,[0.00990121 0.9885373 ]
malfunction/2023-02-12T090715-3.wav,1,1,[0.10235587 0.8918677 ]
serviceable/2023-02-08T161515-2.wav,0,0,[0.53398407 0.47170657]
malfunction/2023-02-12T092115-4.wav,1,1,[0.00137615 0.9987618 ]
serviceable/2023-02-08T161415-2.wav,0,0,[0.5318818 0.4722322]
serviceable/2023-02-08T163414-4.wav,0,0,[0.9323716  0.06406805]
malfunction/2023-02-12T215402-3.wav,1,1,[0.00314775 0.99650687]
serviceable/2023-02-07T151048-3.wav,0,0,[0.6096313  0.39695203]
serviceable/2023-02-07T142125-1.wav,0,0,[0.50998896 0.50050247]
serviceable/2023-02-07T143125-6.wav,0,1,[0.30372933 0.6863223 ]
malfunction/2023-02-12T221950-5.wav,1,1,[0.00193488 0.99823904]
serviceable/2023-02-08T162115-6.wav,0,0,[0.8703517  0.12675297]
serviceable/2023-02-07T151048-5.wav,0,0,[0.5608087  0.44884476]
malfunction/2023-02-15T163216-3.wav,1,1,[0.19987603 0.794529  ]
serviceable/2023-02-08T162115-4.wav,0,0,[0.8994809  0.09621982]
serviceable/2023-02-08T162815-2.wav,0,0,[0.7718766  0.23371653]
serviceable/2023-02-08T164814-2.wav,0,1,[0.36777964 0.62146336]
malfunction/2023-02-08T192317-3.wav,1,1,[0.15112822 0.85245943]
serviceable/2023-02-07T152128-1.wav,0,0,[0.8238564 0.1688758]
serviceable/2023-02-07T150548-5.wav,0,0,[0.51971406 0.48621842]
serviceable/2023-02-07T144357-5.wav,0,0,[0.95010054 0.04786221]
serviceable/2023-02-07T151048-4.wav,0,1,[0.35649404 0.63598794]
malfunction/2023-02-12T213902-1.wav,1,1,[0.09705091 0.909583  ]
malfunction/2023-02-12T085215-3.wav,1,1,[0.00184516 0.9984794 ]
serviceable/2023-02-08T161215-4.wav,0,0,[0.6475136  0.36089355]
malfunction/2023-02-12T215602-1.wav,1,1,[0.01212814 0.9853694 ]
serviceable/2023-02-08T163015-3.wav,0,0,[0.94551295 0.05156591]
malfunction/2023-02-12T222950-4.wav,1,1,[0.00172006 0.9978381 ]
malfunction/2023-02-08T185717-5.wav,1,0,[0.55552655 0.45028362]
malfunction/2023-02-12T212106-4.wav,1,1,[0.00108916 0.999033  ]
malfunction/2023-02-08T185417-2.wav,1,1,[0.45365494 0.5545064 ]
serviceable/2023-02-08T164814-6.wav,0,0,[0.6116988  0.38917038]
malfunction/2023-02-08T191617-5.wav,1,0,[0.6244644  0.38185552]
serviceable/2023-02-08T160615-3.wav,0,0,[0.8973894  0.09734723]
serviceable/2023-02-07T145648-2.wav,0,0,[0.54710126 0.45757815]
malfunction/2023-02-08T195340-5.wav,1,1,[0.2416275 0.7453174]
malfunction/2023-02-08T192017-5.wav,1,1,[0.21728596 0.7693605 ]
serviceable/2023-02-07T144659-2.wav,0,0,[0.6765426  0.32511416]
malfunction/2023-02-12T212402-4.wav,1,1,[2.8611059e-04 9.9967396e-01]
malfunction/2023-02-15T163016-5.wav,1,1,[0.01884738 0.9823167 ]
malfunction/2023-02-08T185917-5.wav,1,0,[0.51388997 0.49178597]
malfunction/2023-02-12T212402-5.wav,1,1,[3.2706658e-04 9.9959034e-01]
serviceable/2023-02-07T145948-4.wav,0,1,[0.45613077 0.54745835]
serviceable/2023-02-08T165837-4.wav,0,1,[0.13721396 0.86736625]
malfunction/2023-02-08T185617-5.wav,1,0,[0.61463404 0.39811605]
malfunction/2023-02-12T222350-5.wav,1,1,[0.00120261 0.9989507 ]
serviceable/2023-02-07T150348-4.wav,0,1,[0.370476  0.6215653]
malfunction/2023-02-08T194941-4.wav,1,1,[0.37629166 0.6195483 ]
malfunction/2023-02-12T222250-3.wav,1,1,[0.00135316 0.99872845]
malfunction/2023-02-08T184617-4.wav,1,1,[0.17578235 0.812146  ]
serviceable/2023-02-07T145848-4.wav,0,0,[0.7094197 0.2898851]
malfunction/2023-02-08T191517-6.wav,1,1,[0.27492186 0.7159348 ]
malfunction/2023-02-08T185017-1.wav,1,0,[0.5482463 0.4658278]
malfunction/2023-02-08T184317-5.wav,1,0,[0.60946685 0.39473513]
malfunction/2023-02-12T213602-2.wav,1,1,[0.11374401 0.9042349 ]
serviceable/2023-02-08T161015-6.wav,0,0,[0.84752023 0.14934418]
serviceable/2023-02-07T142425-6.wav,0,0,[0.7946846  0.20708412]
malfunction/2023-02-08T192517-3.wav,1,1,[0.21657524 0.77925307]
malfunction/2023-02-12T090315-4.wav,1,1,[0.00399863 0.9955427 ]
malfunction/2023-02-12T085215-4.wav,1,1,[0.00172071 0.99852836]
serviceable/2023-02-07T145448-5.wav,0,0,[0.94589776 0.05196045]
serviceable/2023-02-07T144659-5.wav,0,0,[0.5844043 0.4181391]
malfunction/2023-02-08T184122-4.wav,1,1,[0.43125007 0.57012755]
malfunction/2023-02-08T195540-5.wav,1,0,[0.59256536 0.4100011 ]
serviceable/2023-02-08T155108-2.wav,0,0,[0.52875197 0.48129156]
